content,username,level,stars,likes,time
新版本优化的好,希来福尔,6,5,1,2026-03-01 22:06:54
好玩，目前大约有150小时了。除了优化问题、某几个敌人设计恶心、主线剧情太过弱智以外，没有不满意的。 玩起来很多地方不太像目前普遍的二游模式，各方面都秉承流水线工厂那套 辛苦现在，方便未来 的理念。  长草期每日上线能做的事很多，但必做的事不多。没空的话，1分钟送货给委托、3～6分钟清体力、1～2分钟随意处理一下线索和信用、1～2分钟处理一下据点和物资调度、再花1分钟完成一下每日任务的要求，就可以下线了。剩下的大都是起码隔三四天才需要选择去不去做的事了。  战斗手感之类的，真得中配背锅，一开始就开的英配 打架是真爽。  按经验，收菜这方面会在接下来的科技里继续往全自动化方向走。目前版本不想收就不收了，省很多事而且影响不大。  顺便希望下个版本能有溢流器，我觉得包括我在内的大部分玩流水线的都非常需要这个。,蝙芙团子兰,6,5,4,2026-02-22 02:22:36
真的是，每天上线10分钟，解决一切，然后长草，跟方舟一样。,詡音玖猫,6,5,0,2026-03-01 21:37:19
开始无聊了，看抽卡情况吧，欧就玩，非就跑,泠樁,6,5,0,2026-03-01 17:13:51
上头，也看得出一直再进步,TNoirr21,6,5,0,2026-03-01 20:45:09
好游戏，希望继续保持，基建给的太多了，抽卡体验太好了，剧情写的太史诗了，人物人设太立体了，运营服务太听劝了。这个游戏正在蒸蒸日上，保持现在这个样子就是最好的，加油yj，相信自己，你们是最棒的,御坂16013,6,5,0,2026-03-02 15:48:16
"----1.26 到武陵了，是真熬出头了。可我拉的四号谷地毕业线路算什么（恼 ----1.24 无敌了，少见的吃到了井池红利，限定底24抽伊冯，第97抽别礼，所以23抽内必出莱万汀。总的来说120抽2限定1常驻，乐 ----1.23 嘻嘻打灰真好玩，workworkwork ----1.22 打着太累了,中途两次绷不住停下来去小睡休息一会，然后看着前面四个字捏着鼻子继续。 玩法吃受众，抽卡资源还扣，不跳剧情10小时拼尽全力凑了30抽限定，yj你到底想拿什么保障留存率？商单推广满天飞，测试名额又不大大方方给，拉出来一看，大失所望。 抛开情怀，这边怕不是看到那繁琐基建指引和扣扣搜搜的福利扭头就吓跑了。周常一看和本体粥一样一抽，但毕竟出率摆在那里，2%和0.8%差得不是一星半点。如果后面不增加抽卡资源的获取途径和数量，轻度和轻氪的玩家游戏体验必然很差——基建玩法前期费时费力，抽卡方面因为是井池也不敢随便抽，哪里来正反馈？ 不玩基建的二游受众有这些时间和精力，凭什么自己找罪受？26年的新游又不是只有一家。你是想最后筛一波牢玩家狠狠薅嘛？3D游戏的成本大概率比本体粥高，吃老本真能活嘛？ 话尽于此，这边多少对yj带点滤镜，毕竟是连来自星尘都赤了的人，只希望这部续作不至于昙花一现，少点一意孤行，哪怕是立点听劝人设也比毫无作为好。明天考完最后一科沉下心再看，毕竟对基建并不是不感兴趣，大不了当单机去玩，只能梦一个能看到yj的诚意，痛点有所优化罢",白栀浮梦,6,5,0,2026-03-02 02:07:55
只能说可以玩，但也确实有点上头,月亮下的妖精,6,5,3,2026-02-25 02:47:36
很棒,iconionc,6,5,0,2026-03-01 22:02:53
如果你只是想在忙碌的生活中找一款轻松惬意的游戏，《终末地》同样是你的不二之选。自动化基建系统可以让你“躺着玩”，设置好生产线后，你完全可以离线做自己的事情，上线就能收获满满的资源。而箱庭式的开放世界探索，则为你提供了一个放松身心的绝佳场所。你可以在塔卫二的荒野上漫无目的地闲逛，欣赏沿途的风景，收集各种有趣的道具。游戏中没有强制的任务和压力，你可以按照自己的节奏，慢慢享受这个充满惊喜的世界。,aMusic,6,5,0,2026-02-22 19:15:12
好玩的啊！在二游里玩戴森球多有意思，中国风风景还那么好看！啊？你说剧情？什么剧情？什么？你说那个按钮是跳过键？,平方根杀人事件,6,5,1,2026-02-26 10:31:58
新手教程那个boss战真的太难崩了，前那么好的画面给我带起的兴致到这直接一泻千里，体验比我十几年前玩的暗黑血统都差的多，这战斗系统真是太拉胯了，完全没有玩游戏的感觉。看在画面份上给个好评，等以后战斗长进了我再来玩吧。,Master-of-way,6,5,0,2026-02-28 01:40:37
游戏一定要好玩,Grantaire319,6,5,0,2026-02-28 20:05:03
给游戏一点沉淀的时间吧,小此木静,6,5,0,2026-02-28 16:48:20
我发誓，要是这游戏再出工业化迷宫这样的烂活的话，我一定会把狂冲盾止当中两只天使的角塞到策划的腚眼里。 当然，乘风还是很好的。,白云浮水,6,5,1,2026-02-24 21:05:51
只玩了7天，但感觉这游戏还是挺不错的,名字都被其他人占了,6,5,0,2026-02-27 13:55:36
好玩,年纪轻轻就长期素食了,6,5,0,2026-02-25 16:04:45
独具新意等主线 豪来挥笔续新章 流水线需要动脑铺设 异星开拓未来风 值得期待,台湾自属华夏,6,5,0,2026-02-24 13:51:50
还可以的，玩了三天心思都在这里，哈夫币大乱斗都不玩了也要上号拉电线，一个人刚玩真的什么都看不懂,R梓啊,6,5,0,2026-02-24 03:51:25
yj你给我支棱起来啊，粥粥开服官b各一个号，我对你很有信心，加油整啊！  一编：爽了，玩的太爽了，好玩爱玩，两个号玩不动了，b服的放了，上武陵搞基建，绿水！！就是！！银山！我要玩一辈子终末地，正常推完主线大保底就够了，武器池还不用专门搞资源抽，这下真是遥遥领先同行。画风舒适，优化做的也好，完全找不到不玩的理由，凌晨五点看到二十多个好友还在线玩真的是惊到我了，然后看攻略发现1.3w人在线观看。那我问你！你为什么不玩终末地！  二编：合约难度太低，大小月卡轻轻松松就拿刻章了，希望加点难度或者再加点深渊，任务做完每天上线收菜炒股就下班了，长草ing,梦城x,6,5,1,2026-02-23 19:54:07
先给个临时五星，视下个版本剧情决定是否续费,扣1送380轨道炮,6,5,3,2026-03-01 21:48:14
2.16 算了，保号要紧，撤离了，2星的评价应该3个月内不用改，撂这里了。 祝xd们除夕快乐，不要让zmd给你增添烦恼，你是来找游戏乐趣的，不是来受罪的。  一个月过去了，好吧，我已经一周没上号了。虽然自己受不了这么“惊艳”的作品，但似乎有人很喜欢吃这一口，不做评价了。 对于那些喜欢ZMD的玩家，我衷心祝愿你玩的开心； 对于那些还在观望的玩家，我衷心祝愿你找到自己心仪的游戏。 对于那些####，我衷心祝愿你⚠️⚠️⚠️⚠️。,未燃尽的薪火,6,5,0,2026-02-26 02:03:34
挺好玩的,古德里安的信徒,6,5,0,2026-02-25 22:22:27
手机端还觉得一般 电脑端直接真香了 有能力的一定玩玩电脑端啊,EXCNA_Music,6,5,0,2026-02-22 00:21:40
上头好玩资源少，不过二次元游戏都这样。,沙糖桔神,6,5,0,2026-02-26 02:11:10
刚出杰哥，nice,向着南极飞,6,5,0,2026-02-24 09:13:49
无暇神作，千万别改,_CaCO3_,6,5,0,2026-02-24 14:26:30
好玩爱玩，分低了 来顶上去,咕噜咕噜株式会社,6,5,0,2026-02-24 10:23:06
越品越香醇,傻了肥,6,5,0,2026-02-24 02:04:39
好玩就是硬道理，缺点倒也不少，但是还有时间慢慢改，重点是得抽某些弱保软玩习惯了，稍微要动点脑子动点手就觉得是游戏有问题的人的脸。游戏是玩不进去的，有时间发视频开喷都不愿花时间认真玩玩游戏的人到底是喜欢玩游戏还是喜欢玩社区搞拉踩我不好说,Sakura路-,6,5,0,2026-02-25 22:26:10
差强人意，未来可期，毒点不少，致命的毒点还没有，全看yj是怎么个对待方式了。 卡池真得改一下，要不就是加急寻访计入保底，要不就歪一次之后下一个不歪，提升一下概率我觉得也可以。或者还有一个就是继承大保底，但是继承大保底不太可能。 武器池也得改，出武器是up的概率25%调到40%左右比较好，或者也添加一个歪两次下一个必up之类的。 资源这块，请问常驻票什么时候删除，我的建议是抽卡资源可以和基建绑定一下，比如每周给个基建任务，每个人都不一样也能保证没有通用解，生产出什么什么东西就可以获得多少玉，按照目前就一个影拓丰碑来看，一个月得给个7.8抽吧，4抽up4抽常驻也行。 活动这块，刚开服，就看yj怎么对待了，你勤勤点多出点活动，把档期填满，也算是另外一种形式的可循环资源了。 剧情就一字，拉，别怪我话不好听，目前所有游戏剧情里，42个人剧情排第一，杰哥第二，50剧情第三。42剧情我是真被打动了，但是除了42剧情以外，杰哥的剧情我没有一点情感共鸣，50的剧情比谷底强，但也是一个倒一，一个倒二 没啥区别。 50的自动拉电线很好，这个值得表扬，还有角色建模，优化，这些都不错。 但是战斗系统有点偏科生的感觉，连携，大招，战绩很好，动作设计也不错，就是技力获取强绑最后一下太史了，哪怕前几下轻击给的少也行呢。 关于在旅者这方面我觉得没啥问题，我也是方舟玩家，这个仁者见仁智者见智了，不能接受这个设定那没招。 游戏玩法很好，我很喜欢这种打架的感觉，但是每天也就打本刷资源的时候砍砍了，我的建议是出个肉鸽，目前来看的话，可玩性是不高的。 总之，没有吹的那么神，也没传的那么不堪，未来可期，目前可以一玩，就看yj认不认真对待。 ps：ai作画，六个指头，能不能上点心,花园多惠惠惠惠,6,5,0,2026-02-23 01:25:48
我就是喜欢这个游戏！ 我就是觉得四号谷地地图设计比武陵好，武陵太***了！ 我就是觉得基建系统已经融入的不错了！ 我就觉得战斗保下限的同时还有上限，连携非常爽！ 我就觉得，堆料很足，美术，音效，音乐，建模，优化都是t0！ 我就是觉得又没深渊，高难用脚过，潜能差距小，平民和氪佬根本没多少差距，没有强度焦虑，根本就不逼氪！,慵懒的闲者大人,6,5,0,2026-02-22 01:45:43
二游神作，画面独一档,largeears,6,5,0,2026-02-22 13:20:44
小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱，小企鹅女管可爱,现代秦国,6,5,0,2026-02-21 03:04:05
难得既视感与新鲜度都很强。,Dreamy彡-黎,6,5,0,2026-02-22 18:11:33
箱庭探索做的相当有水平，战斗体验非常有意思，战斗交互感很强，基建乏善可陈，未来可期,逗喵です,6,5,1,2026-02-28 11:05:46
等了5年的游戏  比预期好玩 但问题也不少  希望后能继续不断打磨优化,眼眸里的时光i,6,5,0,2026-03-02 00:08:25
挺对胃口,怣兲の酸才レンジ,6,5,1,2026-03-01 21:04:07
鹰角的美术真没得说 太优秀了,神族水晶,6,5,0,2026-02-21 13:22:08
玩了，很好玩，有条件的最好用台式电脑，其次平板  再一个有喷什么战斗不行的，甚至没有魂味的这类，不要学个破词就乱用，玩个类魂就乱套，这游戏明显的日式JRPG+建造经营，战斗比8成日式JRPG都有打击感，画面比9.9成日式JRPG都好，这东西属于电脑端的单机类不太适合手机小屏幕，还有这里的罐头玩法跟某些欧美大厂几乎没区别，现在是国外3A就是个笑话，个个角色丑的要死还给玩家上价值观，起码在这游戏里还捧着玩家，而且这刚开公测有这质量可以了，别要求太多,迷の一坨,6,5,0,2026-02-21 07:27:13
终末地一点也不好玩，都别跟我抢，不，都别玩,吃土豆的土豆粉,6,5,0,2026-03-01 22:44:49
月卡+通行证，莱万汀和洁尔佩塔都抽到了，常驻也全齐了，现在手里留了一百二十抽等洛茜。,yssz_c,6,5,0,2026-03-01 00:29:59
1.1挺好，继续努力,孤独树懒人,6,5,0,2026-03-02 11:54:12
还不错，二游难得的创新，多发福利优化卡池,匕匕菌,6,5,0,2026-02-27 00:24:00
三测之后还是很多问题这点比较扣分，还有伊冯的单人剧情和PV剧情的编剧根本不是人，给五分是因为现在这分数不正常，YJ你小子后续最好上点心,归海九玖,6,5,1,2026-02-25 18:05:26
我通了，我刚抽到粉色奶龙和专武了我昨天声音有点大了,烟花易逝人情forever,6,5,0,2026-02-28 19:44:27
好玩，难得的有游戏性、不搞罐头大世界的二游,BloodAmber,6,5,1,2026-02-25 21:27:07
看了一眼，全是友商刷的恶意差评，没什么参考价值,ねこちち,6,5,0,2026-02-26 14:23:06
终末地可太好玩啦,帝江号调度中心,6,5,0,2026-03-02 00:46:23
喜欢_(•̀ω•́ 」∠)_,kapu阿漪,6,5,0,2026-03-02 01:00:33
给个评分帮帮场子,十五楼风景独好,6,5,0,2026-03-02 01:02:56
在哪里签到啊？,皖沪一家亲,6,5,0,2026-02-21 22:18:57
【创新之处】 希望不歪,彩舟与鹭,6,5,0,2026-03-01 23:47:41
喜欢终末地这套世界观,和莱_,6,5,0,2026-03-01 23:13:55
杰哥坠机了。😭😭😭😭😭,夜空の卡布奇诺,6,5,0,2026-02-27 10:24:33
个人很喜欢玩,一豪杰一,6,5,0,2026-03-01 02:34:24
手牌绝对是目前顶尖的就看会不会打了,梵-尘星,6,5,0,2026-02-26 16:43:37
虽然很牢，但玩到现在我还是要给个中肯的评价，这游戏的可玩性还是可以的。,缺水的蒂蒂,6,5,0,2026-02-26 13:19:17
抽卡资源有点少，画面不错，优化还行,老师今天我画不出来,6,5,0,2026-02-26 11:40:05
开服三卡池前两个吃满保底了，第三个再歪那我只能说我就不奉陪了，祝你发财吧,缇诺桑,6,5,0,2026-02-25 09:53:45
好玩爱玩,烤烫饼干,6,5,0,2026-02-28 21:00:00
根本停不下来。,鳥生魚湯如是說,6,5,0,2026-02-28 01:36:13
关卡难度：非常简单 boss镀层可以吃药  部分角色设定人设怪怪的 抽卡体验：杰哥提前出且双金 粉色奶龙提前歪 42保底 又歪了一只 加上赠送六星已经角色全图鉴。抽卡很爽 总体体验不赖后续有待考察,桶家军小明,6,5,0,2026-02-24 13:52:11
开服到现在所有池子都吃了大保底,找猹的吗,6,5,0,2026-02-24 00:45:10
有一点小瑕疵，但是很棒。个人评分：这个开服表现出的质量可以给8.5分，以原开服个人7.0分为参考。目前已经世界7等56级了，等更新中了。值得一试，强烈推荐。,wkeer7,6,5,0,2026-02-23 21:51:18
好玩，爱玩，很多玩法，希望能增加一键采集，还有清小怪不那么麻烦就好了,聊会电影吧燎原,6,5,0,2026-02-23 18:10:56
主线剧情非常好，期待后续更新,thierry老四,6,5,0,2026-02-27 23:36:53
不足10分，但罪不至6分,我不是奸臣,6,5,0,2026-02-27 23:58:23
BGM好听，企鹅可爱捏,一坨凯凯,6,5,0,2026-02-27 02:21:13
佩里卡的嗨丝救了你😋,蓝色的反射,6,5,0,2026-02-23 02:18:34
非常好玩儿,Zero7FFF,6,5,0,2026-02-27 13:06:09
好玩😋,来吃山楂球,6,5,0,2026-02-27 16:20:56
我觉得不错，略有瑕疵，慢慢优化改进，多发点武器配额咋样,拾壹元柒角伍分,6,5,0,2026-02-22 16:08:56
两周睡了不到70个小时,铅钾,6,5,1,2026-02-21 14:55:05
好玩爱玩😋 终末地治好了我的电子杨伟,你的右手貨真價實,6,5,0,2026-02-21 19:33:52
我觉得好玩，做得又好，为啥不能给高分？,鬼2锅,6,5,0,2026-02-26 15:36:18
伟大无需多言,鸽子精丷,6,5,0,2026-02-26 07:41:42
谢谢你，鹰角。让我认识到了现在的网络环境究竟有多烂！,NOTNOME,6,5,0,2026-02-23 11:48:39
不爱玩可以不玩吧……又没人逼你玩 何必这么恶评,张筱笙,6,5,0,2026-02-23 12:17:06
进入武陵了，我收回我曾经对你的所有差评，终末地是跨时代的神作,某个047,6,5,0,2026-02-21 11:55:29
幸福工厂450h玩家表示做的不赖,An94101A,6,5,0,2026-02-25 14:38:03
难易适中，送的抽多,lan750,6,5,0,2026-02-24 07:43:23
玩了半个月了，不赖,大D鸽最多给19块,6,5,0,2026-02-24 01:03:11
痛并快乐的玩着,真大秦武安君,6,5,0,2026-02-24 19:09:54
我还是喜欢的,诺亚利斯,6,5,0,2026-02-23 18:02:59
希望越来越好吧,杯子君152_,6,5,0,2026-02-23 18:11:51
当时宣发是有些大了,雪已落下,6,5,0,2026-02-23 17:46:03
问题很多，未来可期,萌王の蜘蛛子,6,5,0,2026-02-23 15:00:09
好玩无需多言,君士坦丁格勒,6,5,0,2026-02-21 22:44:53
好玩爱玩就大大方方玩,luoul_,6,5,0,2026-02-21 18:31:42
长草啦，快开武陵后面的地图！！,KuzSeKi,6,5,0,2026-02-21 00:36:32
终末地就是世界上第一的游戏。,具象化,6,5,0,2026-02-21 20:53:51
之前测试没有资格，这次有了后目前已经34小时了。玩起来还不错内容非常多建模很不错。目前测试体验除去内容多之外体验目前都OK。特别是建模，我甚至觉得比目前日厂做的还好。（剧情就不多说了，公测各位自己体验）,椎名吉野,6,5,1,2025-11-30 13:47:40
武陵做的很好，演出进步挺大的，希望别那么卡等级！期待开服再玩。老鹰神了！,na窝头,6,5,0,2025-11-30 20:47:51
